x,y
16,0.003811607602983713
32,0.002973208436742425
48,0.002510133432224393
64,0.0022811293601989746
80,0.0022071555722504854
96,0.001872075954452157
112,0.001857308205217123
128,0.0019220279064029455
144,0.0014541932614520192
160,0.0015853892546147108
176,0.002711016684770584
192,0.004176197573542595
208,0.00288361101411283
224,0.002254517748951912
240,0.0019098875345662236
256,0.0018774152267724276
272,0.0014519802061840892
288,0.0011525368317961693
304,0.0014591324143111706
320,0.0016687652096152306
336,0.002011040458455682
352,0.0015502108726650476
368,0.0015296274796128273
384,0.0015624766238033772
400,0.0017105061560869217
416,0.002571708057075739
432,0.002307209651917219
448,0.001438791980035603
464,0.0016622133553028107
480,0.0018699417123571038
496,0.001677469233982265
512,0.0015248494455590844
528,0.001600891351699829
544,0.001955899642780423
560,0.002161844167858362
576,0.0021511062514036894
592,0.00170309585519135
608,0.001556329894810915
624,0.0018765938002616167
640,0.0023739775642752647
656,0.0018068632343783975
672,0.0017724158242344856
688,0.002034627366811037
704,0.001571022905409336
720,0.0016459012404084206
736,0.0014856529887765646
752,0.0013822775799781084
768,0.0019953639712184668
784,0.0015543539775535464
800,0.0012629745760932565
816,0.001764277694746852
832,0.0016722445143386722
848,0.0018842543940991163
864,0.002219083486124873
880,0.0021619684994220734
896,0.0019108590204268694
912,0.0025421176105737686
928,0.004027354530990124
944,0.00783494021743536
960,0.009307053871452808
976,0.007106574717909098
992,0.00506877014413476
1008,0.0035068136639893055
1024,0.004599303938448429
1040,0.003836995456367731
1056,0.004270804580301046
1072,0.002659090328961611
1073,0.008336237631738186
1089,0.016782384365797043
1105,0.018476206809282303
1121,0.024554293602705002
1137,0.02930578589439392
1153,0.02152467705309391
1169,0.009813141077756882
1185,0.004129104316234589
1201,0.003521576290950179
1217,0.002725661266595125
1233,0.0022281238343566656
1249,0.0020367130637168884
1265,0.0017652466194704175
1281,0.0028114807792007923
1297,0.0030739603098481894
1313,0.0019727498292922974
1329,0.0020281746983528137
1345,0.001939654117450118
1361,0.0029621953144669533
1377,0.0025245018769055605
1393,0.002459258306771517
1409,0.0024731745943427086
1425,0.0020690197125077248
1441,0.002381852362304926
1457,0.0027201035991311073
1473,0.0028039454482495785
1489,0.0019953283481299877
1505,0.0014585102908313274
1521,0.0022615529596805573
1537,0.003281549783423543
1553,0.0022068708203732967
1569,0.0016871035331860185
1585,0.0030959113501012325
1601,0.0034125091042369604
1617,0.003396202577278018
1633,0.002739628776907921
1649,0.002060322090983391
1665,0.0015667411498725414
1681,0.0017508049495518208
1697,0.0022434904240071774
1713,0.0025790082290768623
1729,0.0026917026843875647
1745,0.001918139518238604
1761,0.0019043455831706524
1777,0.0016496828757226467
1793,0.0014757657190784812
1809,0.0016007415251806378
1825,0.0018590278923511505
1841,0.0018295167246833444
1857,0.0012665694812312722
1873,0.0015987115912139416
1889,0.0019710087217390537
1905,0.002305372152477503
1921,0.0019414436537772417
1937,0.0016036448068916798
1953,0.001113521633669734
1969,0.0010323792230337858
1985,0.0014671296812593937
2001,0.0015793472994118929
2017,0.0012433475349098444
2033,0.0012526523787528276
2049,0.001899129943922162
2065,0.001722098677419126
2081,0.001517395954579115
2097,0.0011506292503327131
2113,0.0010040899505838752
2129,0.0015046638436615467
2145,0.0013759167632088065
